chunk_id,doc_id,chunk_text,effective_date,exported_at
policy_refund_v4_1_3b11f30cc4b49d25,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-03-30,2026-06-10T06:09:14.597957+00:00
it_helpdesk_faq_2_b49d2cb54042efb2,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-03-17,2026-06-10T06:09:14.597957+00:00
sla_p1_2026_3_ab622211ba880896,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2026-03-15,2026-06-10T06:09:14.597957+00:00
policy_refund_v4_4_a2f090b784235413,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 7 ngày làm việc kể từ xác nhận đơn. [cleaned: stale_refund_window],2026-02-05,2026-06-10T06:09:14.597957+00:00
policy_refund_v4_5_79eee66db0ad5c42,policy_refund_v4,"Ngoại lệ không được hoàn tiền: sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription). Đơn hàng đã áp dụng mã giảm giá Flash Sale cũng không được hoàn.",2026-02-01,2026-06-10T06:09:14.597957+00:00
policy_refund_v4_6_bd3ca4d3e241f89d,policy_refund_v4,Finance Team xử lý hoàn tiền trong 3-5 ngày làm việc và thông báo kết quả cho khách hàng.,2026-02-01,2026-06-10T06:09:14.597957+00:00
policy_refund_v4_7_267256a113d0b870,policy_refund_v4,CS Agent xem xét yêu cầu hoàn tiền trong vòng 1 ngày làm việc và xác nhận đủ điều kiện.,2026-02-01,2026-06-10T06:09:14.597957+00:00
policy_refund_v4_8_e04c3bdee980c377,policy_refund_v4,Email liên hệ nội bộ cho chính sách hoàn tiền: cs-refund@company.internal. Hotline nội bộ: ext. 1234.,2026-02-01,2026-06-10T06:09:14.597957+00:00
policy_refund_v4_9_8f213dd9a4176f47,policy_refund_v4,Hoàn tiền qua phương thức thanh toán gốc hoặc store credit với giá trị 110% so với số tiền hoàn.,2026-02-01,2026-06-10T06:09:14.597957+00:00
it_helpdesk_faq_10_0e21e6454ce20b25,it_helpdesk_faq,VPN: mỗi tài khoản được kết nối tối đa 2 thiết bị cùng lúc. Phần mềm sử dụng: Cisco AnyConnect.,2026-01-20,2026-06-10T06:09:14.597957+00:00
it_helpdesk_faq_11_a59fe601fd81d723,it_helpdesk_faq,Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống nhắc nhở 7 ngày trước khi hết hạn.,2026-01-20,2026-06-10T06:09:14.597957+00:00
it_helpdesk_faq_12_3916e22bbebbea9a,it_helpdesk_faq,Quên mật khẩu: truy cập SSO portal hoặc liên hệ Helpdesk ext. 9000. Mật khẩu mới gửi qua email trong vòng 5 phút.,2026-01-20,2026-06-10T06:09:14.597957+00:00
